district,mandi,commodity,min_price,max_price,modal_price
Ludhiana,Khanna Mandi,Wheat (HD-3086),2350,2600,2550
Ludhiana,Ludhiana Main,Paddy (PR-126),2180,2320,2250
Ludhiana,Jagraon Mandi,Potato,900,1200,1050
Ludhiana,Khanna Mandi,Maize,2050,2200,2120
Bathinda,Bathinda Grain Market,Cotton (Bt Cotton),6800,7400,7150
Bathinda,Maur Mandi,Wheat,2450,2590,2520
Bathinda,Bathinda Main,Paddy (PR-126),2150,2280,2200
Bathinda,Raman Mandi,Guar,4800,5300,5050
Sangrur,Sangrur Main,Basmati Rice (1121),3800,4400,4100
Sangrur,Sunam Mandi,Sugarcane,380,395,390
Sangrur,Dhuri Mandi,Wheat,2480,2600,2540
Sangrur,Ahmedgarh,Mustard,5100,5600,5350
Amritsar,Amritsar Bhagtanwala,Basmati Rice (1509),3400,3900,3700
Amritsar,Majitha Mandi,Basmati Rice (1121),3900,4500,4200
Amritsar,Jandiala Guru,Wheat,2500,2620,2560
Amritsar,Amritsar Main,Vegetables (Tomato/Onion),1800,2500,2100
